neighborhood_municipality,total_partially_vaccinated,total_fully_vaccinated,total_fully_vaccinated_w_booster
Aleppo,144,455,719
Allegheny Center (Pittsburgh),160,552,377
Allegheny West (Pittsburgh),60,179,187
Allentown (Pittsburgh),178,776,433
Arlington Heights (Pittsburgh),18,64,19
Arlington (Pittsburgh),134,588,342
Aspinwall,264,1136,1175
Avalon,345,1703,1445
Baldwin Borough,1421,7370,7325
Baldwin Township,126,678,746
Banksville (Pittsburgh),361,1614,1364
Bedford Dwellings (Pittsburgh),123,371,162
Beechview (Pittsburgh),653,2630,2141
Bell Acres,120,486,492
Bellevue,632,3031,2162
Beltzhoover (Pittsburgh),129,517,365
Ben Avon,173,680,656
Ben Avon Heights,36,144,165
Bethel Park,2328,11223,13100
Blawnox,109,480,486
Bloomfield (Pittsburgh),1038,3251,3099
Bluff (Pittsburgh),223,644,247
Bon Air (Pittsburgh),42,242,249
Brackenridge,202,1009,719
Braddock,121,598,335
Braddock Hills,127,576,507
Bradford Woods,106,460,475
Brentwood,646,3394,2888
Bridgeville,381,1767,1536
Brighton Heights (Pittsburgh),518,2365,2130
Brookline (Pittsburgh),914,4592,4110
California-Kirkbride (Pittsburgh),68,238,114
Carnegie,672,2976,2318
Carrick (Pittsburgh),635,3437,2422
Castle Shannon,581,2964,2898
Central Business District (Pittsburgh),886,2154,1237
Central Lawrenceville (Pittsburgh),554,1570,1887
Central Northside (Pittsburgh),294,1021,1011
Central Oakland (Pittsburgh),621,1894,658
Chalfant,46,261,210
Chartiers City (Pittsburgh),31,140,130
Chateau (Pittsburgh),8,23,13
Cheswick,125,610,659
Churchill,287,1086,1387
Clairton,303,1667,1306
Collier,859,2997,3127
Coraopolis,389,2048,1571
Crafton,403,2214,1813
Crafton Heights (Pittsburgh),258,1315,949
Crawford-Roberts (Pittsburgh),236,961,625
Crescent,144,753,723
Dormont,610,3034,2806
Dravosburg,86,507,443
Duquesne,306,1463,779
Duquesne Heights (Pittsburgh),237,857,819
East Allegheny (Pittsburgh),155,662,564
East Carnegie (Pittsburgh),32,173,126
East Deer,71,440,361
East Hills (Pittsburgh),204,728,471
East Liberty (Pittsburgh),697,2239,1660
East Mckeesport,125,645,529
East Pittsburgh,116,496,271
Edgewood,372,1121,1376
Edgeworth,223,527,670
Elizabeth Borough,87,449,321
Elizabeth Township,667,4079,3756
Elliott (Pittsburgh),144,784,490
Emsworth,360,1032,687
Esplen (Pittsburgh),19,84,47
Etna,218,1181,909
Fairywood (Pittsburgh),106,478,217
Fawn,138,649,592
Findlay,424,2167,1735
Fineview (Pittsburgh),92,302,260
Forest Hills,600,2107,2540
Forward,88,483,392
Fox Chapel,733,1822,2613
Franklin Park,1448,5600,6199
Frazer,57,331,336
Friendship (Pittsburgh),321,811,614
Garfield (Pittsburgh),345,1185,959
Glassport,251,1281,966
Glenfield,23,65,57
Glen Hazel (Pittsburgh),52,200,227
Glen Osborne,55,198,245
Greenfield (Pittsburgh),731,2649,2688
Green Tree,401,1871,1928
Hampton,1606,6387,7129
Harmar,220,948,1122
Harrison,578,3083,2869
Hays (Pittsburgh),20,125,80
Haysville,5,20,20
Hazelwood (Pittsburgh),336,1214,903
Heidelberg,103,442,388
Highland Park (Pittsburgh),847,2194,2716
Homestead,254,945,586
Homewood North (Pittsburgh),209,730,412
Homewood South (Pittsburgh),173,652,422
Homewood West (Pittsburgh),43,174,139
Indiana,653,2578,2513
Ingram,192,1127,1047
Jefferson Hills,634,3949,3644
Kennedy,606,2812,3072
Kilbuck,47,267,300
Knoxville (Pittsburgh),271,1063,552
Larimer (Pittsburgh),130,592,273
Leet,71,336,419
Leetsdale,72,337,343
Liberty,129,715,685
Lincoln,54,280,260
Lincoln-Lemington-Belmar (Pittsburgh),241,1253,793
Lincoln Place (Pittsburgh),177,1035,951
Lower Lawrenceville (Pittsburgh),294,944,996
Manchester (Pittsburgh),153,687,618
Marshall,689,2446,2484
Marshall-Shadeland (Pittsburgh),253,1193,815
McCandless,2443,10184,11415
Mcdonald,2,2,0
McKeesport,1107,5179,3169
Mckees rocks,333,1632,1106
Middle Hill (Pittsburgh),174,570,372
Millvale,251,1136,834
Monroeville,2488,10282,9152
Moon,2283,9182,8102
Morningside (Pittsburgh),251,1096,1303
Mount Lebanon,3463,12008,14594
Mount Oliver Borough,247,1188,654
Mount Washington (Pittsburgh),755,3101,2291
Mt. Oliver (Pittsburgh),30,152,92
Munhall,745,3749,3227
Neville,80,362,302
New Homestead (Pittsburgh),77,324,285
North Braddock,285,1209,816
North Fayette,1001,4694,3457
North Oakland (Pittsburgh),1195,2812,1684
North Shore (Pittsburgh),57,156,86
North Versailles,595,3147,2567
Northview Heights (Pittsburgh),129,367,83
Oakdale,96,520,438
Oakmont,610,2346,2725
Oakwood (Pittsburgh),78,337,290
O'Hara,931,3102,4076
Ohio,614,2616,2670
Overbrook (Pittsburgh),220,1116,1023
Penn Hills,2818,13253,11626
Pennsbury Village,59,215,231
Perry North (Pittsburgh),283,1261,1075
Perry South (Pittsburgh),242,1158,894
Pine,1437,5149,4584
Pitcairn,179,857,580
Pleasant Hills,573,3001,3291
Plum,1731,9213,8744
Point Breeze North (Pittsburgh),236,721,688
Point Breeze (Pittsburgh),684,1823,2541
Polish Hill (Pittsburgh),89,377,416
Port Vue,193,1124,857
